num,fips,date_range_start,weighted_average
25,06003,2020-06-06,16123.112263667123
26,06003,2020-06-13,18002.914179327337
27,06003,2020-06-20,18965.73905521858
28,06003,2020-06-27,15972.186446498155
29,06003,2020-07-04,15572.128072938965
30,06003,2020-07-11,17808.81183707568
31,06003,2020-07-18,17071.650221492444
32,06003,2020-07-25,19093.312371717955
33,06003,2020-08-01,18890.164000925874
34,06003,2020-08-08,17054.208532884266
35,06003,2020-08-15,19085.95214716251
36,06003,2020-08-22,19586.428499452588
37,06003,2020-08-29,17778.007601755613
38,06003,2020-09-05,16063.088871128462
39,06003,2020-09-12,19115.329626535495
40,06003,2020-09-19,21421.210602585717
41,06003,2020-09-26,22893.309613468195
42,06003,2020-10-03,20738.722774736452
43,06003,2020-10-10,22752.63720150963
44,06003,2020-10-17,22104.78683484505
45,06003,2020-10-24,23186.127986438165
46,06003,2020-10-31,18753.26872640557
47,06003,2020-11-08,17357.018710976525
1,06005,2019-12-21,14949.432559251176
2,06005,2019-12-28,15019.472001766146
3,06005,2020-01-04,14677.394113872359
4,06005,2020-01-11,15040.186913187137
5,06005,2020-01-18,16155.560261963146
6,06005,2020-01-25,16085.036108068072
7,06005,2020-02-01,14868.475882438841
8,06005,2020-02-08,15609.185385069277
9,06005,2020-02-15,15675.256352506938
10,06005,2020-02-22,15418.449896512064
11,06005,2020-02-29,15697.41495548651
12,06005,2020-03-07,15388.231899803191
13,06005,2020-03-14,13134.917824789502
14,06005,2020-03-21,10678.336822232513
15,06005,2020-03-28,9720.413129702103
16,06005,2020-04-04,9076.289084589449
17,06005,2020-04-11,9786.43613987315
18,06005,2020-04-18,10374.291591096266
19,06005,2020-04-25,10939.308700985102
20,06005,2020-05-02,10603.927441738871
21,06005,2020-05-09,11591.612592486084
22,06005,2020-05-16,11357.27097737936
23,06005,2020-05-23,11803.920433076924
24,06005,2020-05-30,12486.850852542444
25,06005,2020-06-06,12623.01629207822
26,06005,2020-06-13,12651.651604226325
27,06005,2020-06-20,13217.368889789019
28,06005,2020-06-27,13016.21584834685
29,06005,2020-07-04,12785.52221338361
30,06005,2020-07-11,12497.78652602013
31,06005,2020-07-18,13177.719873584872
32,06005,2020-07-25,13285.85404349538
33,06005,2020-08-01,13007.63155400416
34,06005,2020-08-08,13365.612286596142
35,06005,2020-08-15,12647.242458839199
36,06005,2020-08-22,12689.124010647172
37,06005,2020-08-29,13119.651778510228
38,06005,2020-09-05,12344.734863444053
39,06005,2020-09-12,12635.18050620679
40,06005,2020-09-19,13057.677996185066
41,06005,2020-09-26,13772.008137129978
42,06005,2020-10-03,12700.684512235928
43,06005,2020-10-10,14024.984365776283
44,06005,2020-10-17,12642.53708248262
45,06005,2020-10-24,12903.990746844265
46,06005,2020-10-31,13137.477176073906
47,06005,2020-11-08,13253.056934741386
1,06007,2019-12-21,14390.189657066492
2,06007,2019-12-28,14247.554134604949
3,06007,2020-01-04,12998.219615724387
4,06007,2020-01-11,12756.473842379486
